,phrase,lf-label
1414, В СООТВЕТСТВИИ С ЗАКОН О ТРАНСПЛАНТАЦИЯ ЗАБОР ОРГАН И КРОВЬ ДОЛЖЕН ПРОВОДИТЬ ТОЛЬКО В ГОСУДАРСТВЕННЫЙ УЧРЕЖДЕНИЕ ТОРГОВЛЯ ОРГАН У МЫ В СТРАНА КАК ИЗВЕСТНЫЙ ЯВЛЯТЬСЯ УГОЛОВНЫЙ ПРЕСТУПЛЕНИЕ,LF
1415, КОНЕЧНО БАНК НЕ СОБИРАТЬСЯ ПРОДАВАТЬ ПУПОВИННЫЙ КРОВЬ ОНИ ЛИШЬ БРАТЬ ОНА НА ХРАНЕНИЕ ЧТОБЫ ОТДАВАТЬ ВЛАДЕЛЕЦ ПО ПЕРВЫЙ ТРЕБОВАНИЕ,LF
1416, НО ЧТОБЫ НЕ ИМЕТЬ ПРОБЛЕМА С ЗАКОН ОНИ ПРИХОДИТЬСЯ ДЕЙСТВОВАТЬ НА БАЗА ГОСУДАРСТВЕННЫЙ СТАНЦИЯ ПО ПЕРЕЛИВАНИЕ КРОВЬ,LF
1417, А ЭТО ЗНАЧИТЬ ЧТО ВЛАДЕЛЕЦ ЧАСТНЫЙ МЕДИЦИНСКИЙ КОМПАНИЯ ВЫНУЖДЕННЫЙ БЫТЬ ПРИВОДИТЬ ОБОРУДОВАНИЕ ЭТОТ СТАНЦИЯ В СООТВЕТСТВИЕ С МЕЖДУНАРОДНЫЙ СТАНДАРТ,notLF
1418, НА ТАКОЙ СКОРЕЕ ВСЕ ПОЙТИ НЕМНОГИЕ,notLF
1419, БЫТЬ И ЕЩЕ ОДИН ПРОБЛЕМА,LF
1420, К СОЖАЛЕНИЕ НЕ ИСКЛЮЧАТЬ ВОЗМОЖНОСТЬ ВОЗНИКНОВЕНИЕ ФИРМА ОДНОДНЕВКА КОТОРЫЙ СОБИРАТЬ С РОДИТЕЛЬ ДЕНЬГИ И ПУПОВИННЫЙ КРОВЬ В ОДИН МОМЕНТ МОЧЬ СКРЫВАТЬСЯ В НЕИЗВЕСТНЫЙ НАПРАВЛЕНИЕ,LF
1421, НАСКОЛЬКО Я ЗНАТЬ НЕКОТОРЫЙ ТАКОЙ ФИРМА УЖЕ РЕКЛАМИРОВАТЬ СЕБЯ В ИНТЕРНЕТ ГОВОРИТЬ ВЛАДИМИР СМИРНОВ,LF
1422, ХОТЕТЬ ПРЕДУПРЕЖДАТЬ ВЕСЬ ДЕЯТЕЛЬНОСТЬ ПОДОБНЫЙ РОД ДО ВВЕДЕНИЕ ПОРЯДОК ЛИЦЕНЗИРОВАНИЕ ЯВЛЯТЬСЯ АБСОЛЮТНО НЕЗАКОННЫЙ,notLF
1423, С ТОЧКА ЗРЕНИЕ ПОТРЕБИТЕЛЬ,notLF
1424, ОДНАКО ПРИ СОЗДАНИЕ БАНК ПУПОВИННЫЙ КРОВЬ НАДО ЧЕТКО РАССТАВЛЯТЬ ВЕСЬ ТОЧКА НАД I,notLF
1425, ЕСЛИ КРОВЬ БЫТЬ ХРАНИТЬСЯ В ЧАСТНЫЙ БАНК И ПЛАТИТЬ ЗА ОНА ЗАБОР КОНСЕРВАЦИЯ ТИПИРОВАНИЕ БЫТЬ РОДИТЕЛЬ РЕБЕНОК ГОВОРИТЬ ПРОФЕССОР АЛЕКСЕЙ МАСЧАН ЗАМДИРЕКТОРА НИИ ДЕТСКИЙ ГЕМАТОЛОГИЯ МИНЗДРАВ РФ ТОГДА НУЖНЫЙ ЧЕТКО ОБЪЯСНЯТЬ ОНИ НА ЧТО ОНИ МОЧЬ РАССЧИТЫВАТЬ,notLF
1426, И ЗДЕСЬ ПОЛУЧАТЬСЯ ЧТО С ОДИН СТОРОНА СОБСТВЕННЫЙ ПУПОВИННЫЙ КРОВЬ РЕБЕНОК СКОРЕЕ ВСЕ НЕ ПРИГОЖДАТЬСЯ ГЕМАТОЛОГИЧЕСКИЙ ЗАБОЛЕВАНИЕ ОЧЕНЬ РЕДКИЙ ВОЗМОЖНОСТЬ ОНИ ВОЗНИКНОВЕНИЕ У КОНКРЕТНЫЙ ЧЕЛОВЕК СОСТАВЛЯТЬ ПРИБЛИЗИТЕЛЬНО ОДИН СЛУЧАЙ ИЗ 15 ТЫСЯЧА В ГОД,notLF
1427, С ДРУГОЙ НАДО ПОНИМАТЬ ЧТО ПУПОВИННЫЙ КРОВЬ НЕ ПАНАЦЕЯ,notLF
1428, ВО-ПЕРВЫХ ОНА МОЧЬ ПРОСТО НЕ ХВАТАТЬ ДЛЯ ЛЕЧЕНИЕ ЕСЛИ ОНО ОКАЗЫВАТЬСЯ НЕОБХОДИМЫЙ,notLF
1429, НАПРИМЕР В ДВА СЛУЧАЙ ИЗ ПЯТЬ КОГДА МЫ ПЕРЕЛИВАТЬ ПУПОВИННЫЙ КРОВЬ НОВОРОЖДЕННЫЙ ОНИ БРАТ И СЕСТРА ПОНАДОБИТЬСЯ ЕЩЕ И ПЕРЕСАДКА ДОНОРСКИЙ КОСТНЫЙ МОЗГ,notLF
1430, ВО-ВТОРЫХ ИССЛЕДОВАНИЕ СОХРАННОСТЬ СТВОЛОВЫЙ КЛЕТКА ПРИ ЗАМОРОЗКА БЫТЬ ПРОВОДИТЬ ТОЛЬКО НА СРОК ДО 15 ГОД,LF
1431, СКОРЕЕ ВСЕ ТАКОЙ КЛЕТКА НЕ ТЕРЯТЬ СВОЙ ФУНКЦИЯ И ПРИ БОЛЕЕ ДЛИТЕЛЬНЫЙ ХРАНЕНИЕ НО РОДИТЕЛЬ СДАВАТЬ НА ХРАНЕНИЕ ПУПОВИННЫЙ КРОВЬ РЕБЕНОК ДОЛЖЕН ЗНАТЬ НА ЧТО ТРАТИТЬ СВОЙ ДЕНЬГИ И ЧТО ПОЛУЧАТЬ ВЗАМЕН,LF
1432, КСТАТИ ВОЗГЛАВЛЯТЬ АЛЕКСЕЙ МАСЧАН ЦЕНТР ГЕМАТОЛОГИЯ И ТРАНСПЛАНТАЦИЯ КОСТНЫЙ МОЗГ ОДИН ИЗ НЕМНОГИЕ В НАШ СТРАНА МЕДИЦИНСКИЙ УЧРЕЖДЕНИЕ ГДЕ ИСПОЛЬЗОВАНИЕ ПУПОВИННЫЙ КРОВЬ УЖЕ СТАНОВИТЬСЯ РЕАЛЬНОСТЬ,LF
1433, В ЦЕНТР СУЩЕСТВОВАТЬ НА БАЗА РОССИЙСКИЙ ДЕТСКИЙ КЛИНИЧЕСКИЙ БОЛЬНИЦА ПЯТЬ РАЗ ПЕРЕЛИВАТЬ ПУПОВИННЫЙ КРОВЬ НОВОРОЖДЕННЫЙ РЕБЕНОК ОНИ СЕСТРА И БРАТ СТРАДАТЬ ИММУНОДЕФИЦИТ И ОНКОЛОГИЧЕСКИЙ ЗАБОЛЕВАНИЕ КРОВЬ,LF
1434, НО ДАЖЕ В ЭТОТ СЛУЧАЙ РЕАКЦИЯ ОРГАНИЗМ НА ВТОРЖЕНИЕ ИНОРОДНЫЙ КЛЕТОЧНЫЙ МАТЕРИАЛ БЫВАТЬ ОЧЕНЬ ОСТРЫЙ,notLF
1435, БЫТЬ ОСЛОЖНЕНИЕ КОТОРЫЙ ВРАЧ ПОКА НЕ В СИЛА ПРЕДОТВРАЩАТЬ,notLF
1436, ТЕОРЕТИЧЕСКИ ТАКОЙ ПРОБЛЕМА НЕ ВОЗНИКАТЬ БЫ ЕСЛИ БОЛЬНОЙ ПЕРЕСАЖИВАТЬ БЫ ОН СОБСТВЕННЫЙ ЗАМОРАЖИВАТЬ КОГДА-ТО ПУПОВИННЫЙ КРОВЬ,LF
1437, ДРУГОЙ РАЗГОВОР ЕСЛИ СОБИРАТЬ И ХРАНИТЬ ОБРАЗЕЦ ПУПОВИННЫЙ КРОВЬ ДЛЯ ДОНОРСКИЙ ИСПОЛЬЗОВАНИЕ БЫТЬ ГОСУДАРСТВЕННЫЙ БАНК,notLF
1438, ТИПИРОВАНИЕ КАЖДЫЙ ТАКОЙ ОБРАЗЕЦ ОЧЕНЬ ДОРОГОЙ УДОВОЛЬСТВИЕ КОТОРЫЙ НА ЗАПАД ОБХОДИТЬСЯ НЕ МЕНЕЕ ЧЕМ В ТЫСЯЧА ДОЛЛАР,LF
1439, ДАЖЕ ЕСЛИ ПРЕДПОЛАГАТЬ ЧТО В РОССИЯ ЭТОТ ПРОЦЕДУРА БЫТЬ СТОИТЬ ВПОЛОВИНУ МАЛО ЛЕГКИЙ ПОДСЧИТЫВАТЬ ЧТО ФОРМИРОВАНИЕ СКОЛЬКО-НИБУДЬ ПРИЛИЧНЫЙ БАНК ПУПОВИННЫЙ КРОВЬ С НЕСКОЛЬКО ДЕСЯТОК ТЫСЯЧА ОБРАЗЕЦ ОБХОДИТЬСЯ ГОСУДАРСТВО В ОГРОМНЫЙ СУММА,LF
1440, ВОПРОС В ТО ОТКУДА ОНИ БРАТЬ,notLF
1441, ВЕСТЬ О ОЧЕРЕДНОЙ АРХИТЕКТУРНЫЙ НАЧИНАНИЕ ПРАВИТЕЛЬСТВО МОСКВА ПОЧЕМУ-ТО ПОЧТИ ВСЕГДА ВОСПРИНИМАТЬ КАК НЕ ОЧЕНЬ ОСТРОУМНЫЙ ШУТКА,LF
1442, НУ КТО БЫ ДЕСЯТЬ ГОД НАЗАД ПОВЕРИТЬ ЧТО НЕ СТАТЬ ТЕПЛЫЙ РЯД КАДАШЕВСКИЙ НАБЕРЕЖНАЯ ПАТРИАРШИЙ ПРУД,notLF
1443, ТЕПЕРЬ ПОДТВЕРЖДАТЬСЯ ЕЩЕ ОДИН ДИКИЙ ПРОШЛОГОДНИЙ СПЛЕТНЯ НА ГРЯДУЩИЙ ОСЕНЬ ПЛАНИРОВАТЬ СНОС ГОСТИНИЦА МОСКВА ВСЕМИРНО ИЗВЕСТНЫЙ ТВОРЕНИЕ ЗОДЧИЙ ЩУСЕВ ОДИН ИЗ СИМВОЛ СОВЕТСКИЙ ЭПОХА И СТРАНА В ЦЕЛОЕ,notLF
1444, МОЖНО НИКОГДА НЕ БЫВАТЬ В ЭТОТ ГОРОД СВЕТЛЫЙ НЕ ЗАГЛЯДЫВАТЬ В УЧЕБНИК ПО ИСТОРИЯ АРХИТЕКТУРА НО НАВЕРНОЕ НЕТ НА СВЕТ ЧЕЛОВЕК НЕ ВИДЕТЬ ЭТИКЕТКА ЭКСПОРТНЫЙ ВОДКА СТОЛИЧНЫЙ УКРАШАТЬ ИЗОБРАЖЕНИЕ ТОРЖЕСТВЕННЫЙ ФАСАД МОСКВА,notLF
1445, СТРОИТЕЛЬСТВО ГОСТИНИЦА МОССОВЕТ НАЧИНАТЬСЯ В 1932 ГОД ПО КОНСТРУКТИВИСТСКИЙ ПРОЕКТ АРХИТЕКТОР САВЕЛЬЕВ И СТАПРАН,LF
1446, ОДНАКО КАК РАЗ В ЭТОТ ВРЕМЯ СОВЕТСКИЙ АРХИТЕКТУРА ПЕРЕКЛЮЧАТЬСЯ НА КЛАССИКА ПОЭТОМУ ИСПРАВЛЯТЬ ФАСАД УЖЕ НАПОЛОВИНУ ВОЗВОДИТЬ ЗДАНИЕ ПОРУЧАТЬ АКАДЕМИК ЩУСЕВ,LF
1447, ГОВОРИТЬ МЕЖДУ ОН И ПЕРВЕНЕЦ СТРОИТЕЛЬСТВО ЗАКИПАТЬ НЕПРИЯТНЫЙ ГРЫЗНЯ СНАЧАЛА СТАПРАН И САВЕЛЬЕВ НАСТУЧАТЬ НА ЩУСЕВ И ИЗГОНЯТЬ ОН ИЗ СОЮЗ АРХИТЕКТОР ПОТОМ ЩУСЕВ ВЕРНУТЬСЯ К ВЛАСТЬ И РАССТРЕЛИВАТЬ ОБА,notLF
1448, ЭТОТ ИСТОРИЯ ТОЖЕ ЯВЛЯТЬСЯ ХАРАКТЕРНЫЙ ПРИМЕТА ДЕСЯТИЛЕТИЕ ОЛИЦЕТВОРЯТЬ КОТОРЫЙ БЫТЬ ПРИЗВАННЫЙ МОСКВА,notLF
1449, КСТАТИ НЕКОТОРЫЙ ИССЛЕДОВАТЕЛЬ ПОЛАГАТЬ ЧТО ЛЕГЕНДА О ОШИБОЧНЫЙ ПОДПИСАНИЕ СТАЛИН НЕСИММЕТРИЧНЫЙ ПРОЕКТ ПРИДУМЫВАТЬ САМ ЩУСЕВ,notLF
1450, ВРОДЕ БЫ ОН ПЛАНИРОВАТЬ ПЕРЕДЕЛЫВАТЬ НА СВОЙ ЛАД И ЛЕВЫЙ БАШНЯ НО МЕШАТЬ ВОЙНА,notLF
1451, БОМБАРДИРОВКА 1941-Й МОСКВА ПЕРЕЖИВАТЬ ЗА ФАНЕРНЫЙ ДЕКОРАЦИЯ С ВОЗДУХ КАЗАТЬСЯ ЧТО ЗДЕСЬ СТОЯТЬ НЕ ОДИН БОЛЬШОЙ ДОМ А МНОГО МНОГО МАЛЕНЬКИЙ,notLF
1452, ТАК ЖЕ БЫТЬ ЗАМАСКИРОВЫВАТЬ И АСФАЛЬТ ПРИЛЕГАТЬ ПЛОЩАДЬ,notLF
1453, ПО ПЕРВОНАЧАЛЬНЫЙ ПРОЕКТ ГОСТИНИЦА ДОЛЖЕН БЫТЬ ЗАНИМАТЬ ВЕСЬ КВАРТАЛ НО ЗАСТРАИВАТЬ ЛИШЬ ПОЛОВИНА,notLF
1454, В СЕРЕДИНА 70-Й ПОЯВЛЯТЬСЯ ТАКИ НОВЫЙ КОРПУС А ДО ТО СО СТОРОНЫ ТЕАТРАЛЬНЫЙ ПЛОЩАДЬ К ГОСТИНИЦА ПРИМЫКАТЬ ТРЕХЭТАЖНЫЙ ДОМ НАЧАЛО XIX ВЕК ПАМЯТНЫЙ СТАРОЖИЛ ПЕРВЫЙ СТЕРЕОКИНОТЕАТР И РАЗВЕСЕЛЫЙ ОБЩЕЖИТИЕ СТУДЕНТ 1-Й МЕД,notLF
1455, ПЯТНАДЦАТЬ ГОД НАЗАД С КРЫША ГОСТИНИЦА ИСЧЕЗАТЬ БУКВА ЛЕНИНИЗМ НАШ ЗНАМЯ ЕЩЕ ГОД ЧЕРЕЗ ПЯТЬ СГИНУТЬ ЛЕГЕНДАРНЫЙ КАФЕ ОГОНЬ МОСКВА,notLF
1456, А ТРИ ГОД НАЗАД ЗАКРЫВАТЬСЯ СТАРЫЙ ЩУСЕВСКИЙ КОРПУС,notLF
1457, СЕЙЧАС В ОН ФУНКЦИОНИРОВАТЬ ЛИШЬ ОБУВНОЙ МАГАЗИН ДА НЕСКОЛЬКО ДОВОЛЬНО ВОНЮЧИЙ ЗАБЕГАЛОВКА,notLF
1458, ЧТО ГОВОРИТЬ КОРПУС ДЕЙСТВИТЕЛЬНО НУЖДАТЬСЯ В КАПИТАЛЬНЫЙ РЕКОНСТРУКЦИЯ ЭТО ВОВСЕ НЕ ОЗНАЧАТЬ ОН ПОЛНЫЙ СНОС,notLF
1459, НОВЫЙ ЖЕ ЧАСТЬ ЗДАНИЕ ДО СИХ ПОР СЛУЖИТЬ ВПОЛНЕ ПРИЛИЧНЫЙ ТРЕХЗВЕЗДОЧНЫЙ ГОСТИНИЦА,notLF
1460, НО ВОТ И ОНА ПРИХОДИТЬ КОНЕЦ 21 ИЮЛЬ МОСКВА ПОКИДАТЬ ПОСЛЕДНИЙ ГОСТЬ,notLF
1461, ВМЕСТЕ С ОН УХОДИТЬ И ОБСЛУЖИВАТЬ ПЕРСОНАЛ ГОРНИЧНАЯ ДЕЖУРНАЯ ПО ЭТАЖ КАСТЕЛЯНША ПОРТЬЕ ШВЕЙЦАР,notLF
1462, РАЗГОВОР С ОНИ ПОСЛЕДНИЙ ШАНС СЛЫШАТЬ О ИСЧЕЗАТЬ ГОСТИНИЦА ТО О ЧТО В ПУТЕВОДИТЕЛЬ НЕ ПИСАТЬ И В ОФИЦИАЛЬНЫЙ ИСТОЧНИК НЕ УКАЗЫВАТЬ,notLF
1463, КАК БЫТЬ УСТРАИВАТЬ ЖИЗНЬ ГЛАВНЫЙ ОТЕЛЬ СТРАНА КАК МЕНЯТЬСЯ ОНА С ГОД,notLF
1464, МЫ ЗАХОТЕТЬ УЗНАВАТЬ И СОХРАНЯТЬ В ВОСПОМИНАНИЕ НАСТОЯЩИЙ ПРАВДА О МОСКВА,notLF
1465, КАК ВЫ НЕ СТЫДНО ВОЗМУЩАТЬСЯ ЗАМДИРЕКТОРА ГОСТИНИЦА ПО СТРОИТЕЛЬСТВО БОРИС ВАЛЕНТИНОВИЧ ЕВСЕЕВ,notLF
1466, ЧЕЛОВЕК ПЛАКАТЬ ОНИ ФАКТИЧЕСКИ ВЫГОНЯТЬ НА УЛИЦА А ВЫ ХОТЕТЬ ТЕРРОРИЗИРОВАТЬ ОНИ СВОЙ ВОПРОС,notLF
1467, ГОД НАЗАД КОГДА ВПЕРВЫЕ БЫТЬ ОБНАРОДОВАТЬ РЕШЕНИЕ О СНОС ГОСТИНИЦА ТОВАРИЩ ЕВСЕЕВ БЫТЬ НАСТРОЕННЫЙ ОПТИМИСТИЧНО И ОБЕЩАТЬ ЧТО ВЕСЬ ПЕРСОНАЛ ПЯТЬСОТ ЧЕЛОВЕК БЫТЬ ТРУДОУСТРАИВАТЬ А ПОСЛЕ СТРОИТЕЛЬСТВО НОВЫЙ ЗДАНИЕ МНОГИЕ ВЕРНУТЬСЯ ОБРАТНО,notLF
1468, СЕЙЧАС ЖЕ В КАБИНЕТ РУКОВОДСТВО СТРАХ И РАСТЕРЯННОСТЬ,notLF
1469, НО МОСКВИЧ ПРОСТОЙ КАК БУДТО ХОРОШО НАЧАЛЬСТВО ПОНИМАТЬ ЧТО СНОС ГОСТИНИЦА ЭТО НЕ ТОЛЬКО ОНИ ЛИЧНЫЙ ТРАГЕДИЯ СТЕНА ТО НОВЫЙ СТАВИТЬ НО В ОНИ УЖЕ НЕ ВЕРНУТЬСЯ НИ ПРЕЖНИЙ ЧЕЛОВЕК НИ СЕМИДЕСЯТИЛЕТНИЙ ИСТОРИЯ,LF
1470, МЫ ВЕЗТИ МЫ ПОВСТРЕЧАТЬ НАСТОЯЩИЙ СТАРОЖИЛ А ОНИ ЗДЕСЬ ОСТАВАТЬСЯ УЖЕ ОЧЕНЬ МАЛО,notLF
1471, ОНИ С УДОВОЛЬСТВИЕ ДЕЛИТЬСЯ С МЫ ВОСПОМИНАНИЕ ТОЛЬКО ПРОСИТЬ ПОЧЕМУ-ТО ИМЯ СВОЙ НЕ НАЗЫВАТЬ,notLF
1472, ХОТЬ МЫ ВЕСЬ УЖЕ ГОТОВЫЙ КЛИЕНТ БИРЖА ТРУД НО МАЛО ЛИ ЧТО,notLF
1473, ВРОДЕ БЫ ОБЕЩАТЬ ДО СНОС КТО-ТО ОСТАВЛЯТЬ ЗДЕСЬ НА ЭТАЖ СТОРОЖ,notLF
1474, МАРИЯ И ТАМАРА НАЗЫВАТЬ ОНИ ТАК ЧТОБЫ ОКОНЧАТЕЛЬНО НЕ ПОРТИТЬ ОНИ ПОСЛЕДНИЙ ДЕНЬ ПРЕБЫВАНИЕ НА ПОСТ ПРОРАБАТЫВАТЬ В МОСКВА МНОГО ДВАДЦАТЬ ГОД,notLF
1475, КОГДА Я УВОЛЬНЯТЬСЯ ИЗ ВНЕШТОРГ ТАМ ВСЕ УДИВЛЯТЬСЯ ТЫ НА ДОСКА ПОЧЕТ ВИСЕТЬ ЗАГРАНИЧНЫЙ КОМАНДИРОВКА КАРЬЕРА НЕ ИНАЧЕ КАК В КРЕМЛЬ РАБОТАТЬ ПЕРЕХОДИТЬ,notLF
1476, РЯДОМ УКЛОНЧИВО ОТВЕЧАТЬ Я РАССКАЗЫВАТЬ МАРИЯ,notLF
1477, НО Я РАСТИТЬ ОДИН РЕБЕНОК И Я УСТРАИВАТЬ ГРАФИК,notLF
1478, И СЕЙЧАС НЕ ЖАЛЕТЬ,notLF
1479, ДАЛЕКО НЕ КАЖДЫЙ ТОГДА МОЧЬ ПОПАДАТЬ СЮДА НА РАБОТА ДАЖЕ ГОРНИЧНАЯ И ДЕЖУРНАЯ ПО ЭТАЖ ДОЛЖЕН БЫТЬ ИМЕТЬ ВЫСШИЙ ОБРАЗОВАНИЕ И ЗНАТЬ ИНОСТРАННЫЙ ЯЗЫК,LF
1480, ВСЕ-ТАКИ ЭТО БЫТЬ НЕ ПРОСТО ГОСТИНИЦА ОБЪЯСНЯТЬ ТАМАРА,notLF
1481, ЭТО БЫТЬ ГЛАВНЫЙ ГОСТИНИЦА СТРАНА ГОСТИНИЦА ГОСУДАРСТВЕННЫЙ УРОВЕНЬ,notLF
1482, У МЫ ВЕДЬ ОСТАНАВЛИВАТЬСЯ ВЕСЬ ДЕПУТАТ ВЕРХОВНЫЙ СОВЕТ С ВЕСЬ СОЮЗ ПРИЕЗЖАТЬ В МОСКВА НА СЪЕЗД,notLF
1483, УДИВИТЕЛЬНЫЙ ДЕТАЛЬ В НЕКОТОРЫЙ НОМЕР БЫТЬ УСТРАИВАТЬ ТРИБУНА ЧТОБЫ ГОСУДАРСТВЕННЫЙ МУЖ МОЧЬ РЕПЕТИРОВАТЬ СВОЙ ВЫСТУПЛЕНИЕ ПЕРЕД ЗЕРКАЛО,notLF
1484, В НОМЕР И ХОЛЛ БЫТЬ РОЯЛЬ МУЗЕЙНЫЙ ЦЕННОСТЬ КАРТИНА СТОЯТЬ НА УЧЕТ В ТРЕТЬЯКОВКА,LF
1485, ДУБ МРАМОР И ВИД НА КРЕМЛЬ ВИДИМО НАСТРАИВАТЬ НА ОПРЕДЕЛЕННЫЙ ЛАД И ПО НАБЛЮДЕНИЕ НАШ СОБЕСЕДНИЦА ИЗБРАННИК ВЕСТИ СЕБЯ ДОСТОЙНО ТИХО В КОРИДОР НЕ ШАТАТЬСЯ ПОЗДНО ОДИННАДЦАТЬ ГОСТЬ НЕ ВОДИТЬ И СТАКАН НЕ БИТЬ,LF
1486, Я ДО ЭТО В ОРЛЕНОК РАБОТАТЬ ВОТ ТАМ ДА ТАМ ТУРИСТ ХУЛИГАНИТЬ,notLF
1487, А ЗДЕСЬ ВСЕ БЫТЬ ЧИННЫЙ ДИСЦИПЛИНИРОВАННЫЙ СООТВЕТСТВЕННЫЙ СТАТУС РАССКАЗЫВАТЬ ТАМАРА,notLF
1488, А Я ОЧЕНЬ ШЕВАРДНАДЗЕ ПОНРАВИТЬСЯ ВСПОМИНАТЬ МАРИЯ,notLF
1489, СЕДОЙ ТАКОЙ МУЖЧИНА ПРИЯТНЫЙ,notLF
1490, ОН Я ОБЕДАТЬ КАК-ТО ДАЖЕ ПРИГЛАШАТЬ С ДРУГ,notLF
1491, Я СОГЛАШАТЬСЯ,notLF
1492, ЖЕНЩИНА НАПЕРЕБОЙ ПРОДОЛЖАТЬ ДЕЛИТЬСЯ СВОЙ ВОСПОМИНАНИЕ И ИЗ РАССКАЗ ЭТОТ СКЛАДЫВАТЬСЯ НЕ ТОЛЬКО ИСТОРИЯ МЕСТО НО ПО СУТЬ СВОЕОБРАЗНЫЙ ИСТОРИЯ НАШ ОТЕЧЕСТВО,notLF
1493, А Я МНОГО ВСЕ ЗАПОМИНАТЬСЯ ПОХОРОНЫ ЧЕРНЕНКО ГОВОРИТЬ ТАМАРА,notLF
1494, НАРОД ТОГДА ПОНАЕХАТЬ С ВЕСЬ МИР,notLF
1495, ПОМНИТЬ ВЫХОДИТЬ В КОРИДОР БАТЮШКА А ТАМ ЯСИР АРАФАТ В ЭТОТ СВОЙ АРАФАТКА ПРОГУЛИВАТЬСЯ,notLF
1496, ДАЖЕ НА ПОХОРОНЫ БРЕЖНЕВ НЕ БЫТЬ СТОЛЬКО ГОСТЬ,notLF
1497, И ТУТ ЖЕ ГОРБАЧЕВ К ВЛАСТЬ ПРИХОДИТЬ ВСЕ ПРИЕЗЖАТЬ ЗНАКОМИТЬСЯ С НОВЫЙ ВЛАСТЬ,LF
1498, ТОЛЬКО ПАПА РИМСКИЙ НЕ БЫТЬ,notLF
1499, КСТАТИ И ГОРБАЧЕВ У МЫ БЫВАТЬ И СОБЧАК И СТАРОВОЙТОВА И СЛИСКА,notLF
1500, А Я ЕЛЬЦИН В ЛИФТ РУКА ПОЖИМАТЬ ХВАСТАТЬСЯ МАРИЯ,notLF
1501, ТАКОЙ МОГУЧИЙ КРАСИВЫЙ МУЖИК БЫТЬ ПОКА ПРЕЗИДЕНТ НЕ СТАНОВИТЬСЯ,notLF
1502, И У ЖИРИНОВСКИЙ В ГОСТИНИЦА ШТАБ БЫТЬ,notLF
1503, ПОМНИТЬ КАК ОН КРИЧАТЬ НА МЫ КОГДА ЭЛЕКТРИЧЕСТВО ОТКЛЮЧАТЬ К ВЛАСТЬ ПРИХОДИТЬ ВСЕ РАССТРЕЛИВАТЬ,LF
1504, Я ЗА ОН КСТАТИ ТРИ РАЗ ПОТОМ ГОЛОСОВАТЬ,notLF
1505, А Я МУЛЯВИН ИЗ ПЕСНЯРЫ ДОМОЙ НА МАШИНА ПОДВОЗИТЬ ТАМАРА ПРОДОЛЖАТЬ ВОЛНУЮЩИЙ ТЕМА ЗНАМЕНИТОСТЬ,notLF
1506, МНОГИЕ ИЗ ОНИ ЖИТЬ В МОСКВА ЧАСТО И ПОДОЛГУ И ВНИМАТЕЛЬНЫЙ ПЕРСОНАЛ ИЗУЧАТЬ ВЕСЬ ПРИВЫЧКА И ИНДИВИДУАЛЬНЫЙ ОСОБЕННОСТЬ ГОСТЬ,notLF
1507, КОСТОПРАВ ЕЛИЗАРОВ НАПРИМЕР ПОМНИТЬ ЗА РАБОЧИЙ РУКА А К ПРИЕЗД ОПЕРНЫЙ ДИВА ИЗ МОЛДАВИЯ МАРИЯ БИЕШУ ГОТОВИТЬСЯ ЗАРАНЕЕ,notLF
1508, СЕРЬЕЗНЫЙ ЖЕНЩИНА,notLF
1509, ОНА ОДНАЖДЫ ШВЕЙЦАР НАШ ПОБИВАТЬ,notLF
1510, А ЕЩЕ У МЫ РОТАРУ И ЧЕПРАГА ЖИТЬ И СОФИ ЛОРЕН И ЖАН МАРЭ,notLF
1511, ДЛЯ ИМЕНИТЫЙ ПОСТОЯЛЕЦ В ГОСТИНИЦА БЫТЬ ЗАВОДИТЬ СПЕЦИАЛЬНЫЙ КНИГА ПОЧЕТНЫЙ ГОСТЬ,notLF
1512, БЫТЬ ЗДЕСЬ ИМЯ ДУНАЕВСКИЙ ОРЛОВА ЦЕЛИКОВСКАЯ АЛЕКСАНДРОВ ШОЛОХОВ АНИКУШИН ГРАНИН АРКАДИЙ РАЙКИН,notLF
1513, ПОМНИТЬ ПРИХОДИТЬ КАК-ТО С КНИГА ПОЧЕТНЫЙ ГОСТЬ К ДИН РИД ПРОСИТЬ РАСПИСЫВАТЬСЯ,notLF
1514, И ГОВОРИТЬ ВОТ ОБРАЩАТЬ ВНИМАНИЕ ТОЛЬКО ЧТО У АНДЖЕЛА ДЭВИС ПОДПИСЬ БРАТЬ,notLF
1515, А ОН СПРАШИВАТЬ А КТО ЭТО,notLF
1516, ВИДНЫЙ МУЖЧИНА БЫТЬ,notLF
1517, В МОСКВА СЕЛИТЬ ИСКЛЮЧИТЕЛЬНО ОФИЦИАЛЬНЫЙ ИНОСТРАННЫЙ ГОСТЬ ПРИЕЗЖАТЬ ПО ОСОБЫЙ СЛУЧАЙ ОЛИМПИАДА ИГРА ДОБРЫЙ ВОЛЯ ФЕСТИВАЛЬ МОЛОДЕЖЬ И СТУДЕНТ МОСКОВСКИЙ КИНОФЕСТИВАЛЬ,notLF
1518, ЗАГРАНИЧНЫЙ ТУРИСТ СТАТЬ СЕЛИТЬ ЗДЕСЬ ТОЛЬКО В ПОСЛЕДНИЙ ВРЕМЯ,notLF
